"size","percentage"
857,0.691316129732431
858,0.691329340007039
859,0.691350475428675
860,0.691360127779193
861,0.691376118671118
862,0.691397133155058
863,0.69141640234163
864,0.691427231106076
865,0.691441278858639
866,0.691455739007045
867,0.691471588741205
868,0.691482568869129
869,0.691496764058805
870,0.691517899834806
871,0.691533908182752
872,0.691545593837269
873,0.691560282969268
874,0.69157529633818
875,0.691595176705201
876,0.69160554062778
877,0.691620100671687
878,0.691637764861093
879,0.691654886361723
880,0.69166562192108
881,0.69168012669113
882,0.691692839330931
883,0.691708680347711
884,0.691721529006984
885,0.691737548949754
886,0.69180878001969
887,0.691823782211929
888,0.691848404301936
889,0.691862771684665
890,0.696174726846888
891,0.696195539519946
892,0.696204687148356
893,0.696219475977412
894,0.69623664725924
895,0.696254505909999
896,0.696265006206414
897,0.696279432527135
898,0.696299731888277
899,0.696315702014411
900,0.696326925421012
901,0.696342704416826
902,0.696363539138475
903,0.696378081357822
904,0.696388484735402
905,0.696402551077954
906,0.696424463395301
907,0.696446288297882
908,0.696455202775367
909,0.696469785704167
910,0.696487852622339
911,0.696506687796801
912,0.696517354545557
913,0.696531887395492
914,0.696547178430664
915,0.696564705891868
916,0.696577443436443
917,0.696593766644803
918,0.696648816379962
919,0.696671704809949
920,0.696685185493421
921,0.696700465153476
922,0.696713365174416
923,0.696734145338025
924,0.696745098392461
925,0.696760021277806
926,0.696789380817157
927,0.696807600693449
928,0.696819078278997
929,0.69683551017111
930,0.696853123906023
931,0.69687196550158
932,0.696885005567578
933,0.696902342841073
934,0.696918865514419
935,0.696935761412098
936,0.696947004209554
937,0.696963658238928
938,0.696976384798187
939,0.696996504134808
940,0.69700635582274
941,0.697025541839841
942,0.697047469869732
943,0.697065152918445
944,0.697084587636009
945,0.697100076172985
946,0.697146775657742
947,0.697163829644747
948,0.697177658102057
949,0.697192923686732
950,0.697797565859862
951,0.697814462005596
952,0.697840047947214
953,0.697857771528199
954,0.697881917394134
955,0.697900753901008
956,0.697910771453035
957,0.697926769219642
958,0.698195525538346
959,0.698214841862554
960,0.69823286405986
961,0.698248820131877
962,0.698264697258454
963,0.698283102545615
964,0.700608457892106
965,0.700623039927907
966,0.700651279035916
967,0.700668453528292
968,0.700679350153641
969,0.700694721239872
970,0.700713957038172
971,0.700733669145591
972,0.700743718285716
973,0.700763565037671
974,0.700780919100981
975,0.700800328949207
976,0.700811515856211
977,0.700827716213303
978,0.700853382531996
979,0.700870924274111
980,0.700900471832457
981,0.700915854350504
982,0.700940650575485
983,0.700957866833323
984,0.700968577154802
985,0.700988936835959
986,0.701006388696928
987,0.701027657246418
988,0.701039061131128
989,0.701056598394069
990,0.70108980150407
991,0.701110653440772
992,0.701121800035211
993,0.701139973836962
994,0.701178000471572
995,0.701199333380838
996,0.701212639560796
997,0.701243349067891
998,0.701277094937542
999,0.701298104006784
1000,0.70133877405566
1001,0.702527595558016
1002,0.702571292890616
1003,0.702594984070785
1004,0.702604477467326
1005,0.702624594550186
1006,0.704475534007588
1007,0.704593817120047
1008,0.704674918078104
1009,0.70468489417651
1010,0.704712401960152
1011,0.704727167060925
1012,0.704747690203581
1013,0.704757335247092
1014,0.704788721555951
1015,0.704798709235006
1016,0.704818086984848
1017,0.704831499488489
1018,0.705353915211888
1019,0.705389871079028
1020,0.705408780393741
1021,0.705419353086932
1022,0.705444179411678
1023,0.705458203003633
1024,0.705470212299729
1025,0.705492704903981
1026,0.705510058846807
1027,0.705524723279564
1028,0.705536480281935
1029,0.705550576865999
1030,0.705635584748086
1031,0.705661284986599
1032,0.705713288741735
1033,0.705727555328876
1034,0.705816279224379
1035,0.70584109527254
1036,0.705870203255245
1037,0.705886704092618
1038,0.705920648335811
1039,0.705939563221142
1040,0.705955203227905
1041,0.7059748873334
1042,0.706014163466181
1043,0.706521540788323
1044,0.706534953943996
1045,0.706552427307836
1046,0.706571018991001
1047,0.706728461295782
1048,0.706745318099912
1049,0.706764471005144
1050,0.706803595143678
1051,0.706822757878997
1052,0.706835505069388
1053,0.706850326818954
1054,0.706880536239036
1055,0.706897224797738
1056,0.706911739610493
1057,0.707232710269294
1058,0.707592803634994
1059,0.707611625981442
1060,0.707637280556478
1061,0.707658159105994
1062,0.70768839324658
1063,0.70770623369715
1064,0.707730985534368
1065,0.707756110985721
1066,0.707782474276636
1067,0.707807895098325
1068,0.707824963869439
1069,0.707841599918332
1070,0.707864320244637
1071,0.707882768962776
1072,0.707894270255344
1073,0.707903939317717
1074,0.707964823113143
1075,0.707975543378106
1076,0.707985375462565
1077,0.708000868946476
1078,0.708299711181963
1079,0.708316439904397
1080,0.708337835210257
1081,0.708346460788109
1082,0.708360038603036
1083,0.708377280878354
1084,0.708386322402788
1085,0.708396241639782
1086,0.708413872759844
1087,0.708425824932297
1088,0.708438256709465
1089,0.70846126657326
1090,0.7084944025807
1091,0.70850588149866
1092,0.708535117839465
1093,0.708547534159231
1094,0.708566463857021
1095,0.708578232766057
1096,0.708589679500586
1097,0.708602398200029
1098,0.708618824514436
1099,0.7086351111665
1100,0.708654097690265
1101,0.708665434918913
1102,0.708689246703676
1103,0.708705521045098
1104,0.708734418074303
1105,0.708748911752728
1106,0.70877223428696
1107,0.708788716378423
1108,0.708828265088782
1109,0.708893372702708
1110,0.709063519525244
